orderID,orderDate,customerID,articleName,articlePrice,orderAmount
1,2020-01-01,186,Product #011,45.91,6
1,2020-01-01,186,Product #016,23.29,5
1,2020-01-01,186,Product #035,51.29,7
1,2020-01-01,186,Product #056,14.27,1
2,2020-01-01,106,Product #007,15.53,420
2,2020-01-01,106,Product #020,16.64,42
2,2020-01-01,106,Product #072,21.01,504
2,2020-01-01,106,Product #087,59.17,378
3,2020-01-01,941,Product #027,30.6,12
3,2020-01-01,941,Product #038,16.77,7
3,2020-01-01,941,Product #059,79.12,7
3,2020-01-01,941,Product #065,4.39,3
3,2020-01-01,941,Product #087,59.17,6
3,2020-01-01,941,Product #088,3.98,11
4,2020-01-01,981,Product #008,62.32,10
4,2020-01-01,981,Product #026,19.06,5
4,2020-01-01,981,Product #027,30.6,10
4,2020-01-01,981,Product #044,20.97,12
4,2020-01-01,981,Product #045,77.9,7
4,2020-01-01,981,Product #095,84.6,1
5,2020-01-01,597,Product #003,68.27,100
5,2020-01-01,597,Product #042,8.28,40
5,2020-01-01,597,Product #054,23.53,240
5,2020-01-01,597,Product #091,71.85,60
5,2020-01-01,597,Product #096,69.33,240
6,2020-01-01,523,Product #014,8.0,7
6,2020-01-01,523,Product #020,16.64,5
6,2020-01-01,523,Product #041,50.68,3
6,2020-01-01,523,Product #047,54.09,5
6,2020-01-01,523,Product #088,3.98,9
6,2020-01-01,523,Product #092,33.8,6
7,2020-01-01,38,Product #017,86.07,2
7,2020-01-01,38,Product #020,16.64,9
7,2020-01-01,38,Product #046,74.02,8
7,2020-01-01,38,Product #062,10.99,3
7,2020-01-01,38,Product #083,32.05,10
7,2020-01-01,38,Product #091,71.85,2
8,2020-01-01,251,Product #007,15.53,4
8,2020-01-01,251,Product #008,62.32,1
8,2020-01-01,251,Product #029,67.63,8
8,2020-01-01,251,Product #048,93.54,1
8,2020-01-01,251,Product #061,1.51,2
8,2020-01-01,251,Product #064,90.2,2
8,2020-01-01,251,Product #077,23.91,1
9,2020-01-01,167,Product #040,11.59,12
10,2020-01-01,168,Product #009,28.39,10
10,2020-01-01,168,Product #025,32.07,12
10,2020-01-01,168,Product #028,91.36,10
10,2020-01-01,168,Product #034,32.09,9
10,2020-01-01,168,Product #051,81.33,10
10,2020-01-01,168,Product #068,19.95,8
10,2020-01-01,168,Product #083,32.05,7
10,2020-01-01,168,Product #088,3.98,11
11,2020-01-01,26,Product #011,45.91,8
11,2020-01-01,26,Product #019,60.85,3
11,2020-01-01,26,Product #038,16.77,6
11,2020-01-01,26,Product #079,11.63,5
12,2020-01-01,80,Product #023,93.06,11
12,2020-01-01,80,Product #064,90.2,12
12,2020-01-01,80,Product #072,21.01,7
12,2020-01-01,80,Product #085,69.83,9
13,2020-01-01,236,Product #081,30.19,13
14,2020-01-01,71,Product #015,58.47,6
14,2020-01-01,71,Product #039,91.26,14
14,2020-01-01,71,Product #040,11.59,4
14,2020-01-01,71,Product #050,71.34,7
14,2020-01-01,71,Product #068,19.95,12
15,2020-01-01,687,Product #028,91.36,10
15,2020-01-01,687,Product #037,49.48,5
15,2020-01-01,687,Product #046,74.02,13
15,2020-01-01,687,Product #064,90.2,2
15,2020-01-01,687,Product #093,49.0,12
15,2020-01-01,687,Product #096,69.33,11
16,2020-01-01,28,Product #015,58.47,8
16,2020-01-01,28,Product #041,50.68,11
16,2020-01-01,28,Product #053,48.87,2
16,2020-01-01,28,Product #054,23.53,2
16,2020-01-01,28,Product #058,57.69,12
16,2020-01-01,28,Product #064,90.2,4
16,2020-01-01,28,Product #094,35.89,13
17,2020-01-01,830,,,8
17,2020-01-01,830,Product #011,45.91,8
17,2020-01-01,830,Product #023,93.06,3
17,2020-01-01,830,Product #042,8.28,7
17,2020-01-01,830,Product #057,71.83,9
17,2020-01-01,830,Product #088,3.98,1
18,2020-01-01,214,Product #064,90.2,9
18,2020-01-01,214,Product #082,91.17,9
19,2020-01-01,65,Product #008,62.32,700
19,2020-01-01,65,Product #010,16.43,300
19,2020-01-01,65,Product #049,35.39,300
20,2020-01-01,33,Product #016,23.29,6
20,2020-01-01,33,Product #028,91.36,5
20,2020-01-01,33,Product #059,79.12,11
